Numero Ticket;ItemID;Item;Resumen;Ubicacion;Service Desk;Modo de reporte;Estado;Fecha Creacion;Fecha Termino;Fecha Cierre;Prioridad
WO0000004122302;221;SILLAS;REPARAR;IMPERIAL - 255001;Zona Norte;Web HD;Cerrado;2023-06-01;10-06-23;10/06/2023;3
WO0000004122303;219;SEPARADORES;REPARAR;IMPERIAL - 255001;Zona Norte;Web HD;Cerrado;2023-06-01;17-06-23;17/06/2023;3
WO0000004122353;111;GRIFERIA;REVISAR;PLAZA UNION - 191062;Zona Centro;Web HD;Cerrado;2023-06-01;05-06-23;05/06/2023;3
WO0000004122360;41;CAJONERA;REPARAR;AREQUIPA - 215000;Zona Norte;Web HD;Cerrado;2023-06-01;13-06-23;13/06/2023;3
WO0000004122387;49;CERRADURA;APERTURAR;PLAZA LIMA NORTE - 191058;Zona Centro;Web HD;Rechazado;2023-06-01;06-06-23;;3
WO0000004122401;231;STICKER;REPONER;TUPAC AMARU - 191038;Zona Centro;Web HD;Cerrado;2023-06-01;07-06-23;07/06/2023;3
WO0000004122411;108;FOCO FLOURESCENTES;CAMBIAR;ICA - 380000;Zona Norte;Web HD;Rechazado;2023-06-01;26-06-23;;3
WO0000004122423;160;PANEL DE ALARMAS;REPARACION;LAS MALVINAS - 191076;Zona Centro;NULL;Terminado;2023-06-01;06-06-23;06/06/2023;1
WO0000004122441;160;PANEL DE ALARMAS;REPARACION;LA NEGRITA - 215004;Zona Norte;NULL;Terminado;2023-06-01;05-06-23;;1
WO0000004122459;160;PANEL DE ALARMAS;REPARACION;TUPAC AMARU - 191038;Zona Centro;NULL;Terminado;2023-06-01;10-06-23;;1
WO0000004122502;69;DETECTOR DE BILLETES;REPARAR;NICOLAS AYLLON - 191027;Zona Centro;Web HD;Cerrado;2023-06-01;08-06-23;08/06/2023;3
WO0000004122511;71;DETECTOR DE HUMO;REPARAR;CHIMPU OCLLO - 191113;Zona Centro;Web HD;Cerrado;2023-06-01;03-06-23;03/06/2023;3
WO0000004122513;128;LAMPARA DE EMERGENCIA;REPARAR;JAUREGUI - 405005;Zona Norte;Web HD;Cerrado;2023-06-01;18-06-23;18/06/2023;3
WO0000004122514;160;PANEL DE ALARMAS;REPARACION;PISCO - 470000;Zona Norte;NULL;Terminado;2023-06-01;05-06-23;05/06/2023;1
WO0000004122522;35;CAJA PULMON;REPARAR;MINI AGENCIA BCP SALAMANCA - 191090;Zona Centro;Web HD;Cerrado;2023-06-01;07-06-23;07/06/2023;3
WO0000004122614;189;PUERTA / MAMPARA  CERRADURA;REEMPLAZAR;BOLOGNESI - 540002;Zona Norte;Web HD;Rechazado;2023-06-01;05-06-23;;3
WO0000004122649;56;CONTADOR DE BILLETES;REPARAR;METRO AV. WIESSE - 191106;Zona Centro;Web HD;Cerrado;2023-06-01;17-06-23;17/06/2023;3
WO0000004122663;127;JARDIN;ARREGLAR;QUILLABAMBA - 505000;Zona Norte;Web HD;Cerrado;2023-06-01;17-06-23;17/06/2023;3
WO0000004122687;56;CONTADOR DE BILLETES;REPARAR;AREQUIPA - 215000;Zona Norte;Web HD;Cerrado;2023-06-01;14-06-23;14/06/2023;3
WO0000004122688;51;COCHES;REPARAR;AREQUIPA - 215000;Zona Norte;Web HD;Cerrado;2023-06-01;17-06-23;17/06/2023;3
WO0000004122689;231;STICKER;REPONER;LA SALLE - 191114;Zona Centro;Web HD;Cerrado;2023-06-01;08-06-23;08/06/2023;3
WO0000004122715;192;PUERTA/MAMPARA BRAZO HIDRAULICO;REPARAR;NACIONES UNIDAS - 191084;Zona Centro;Web HD;Cerrado;2023-06-01;13-06-23;13/06/2023;3
WO0000004122726;188;PUERTA / MAMPARA;REPARAR;LA SALLE - 191114;Zona Centro;Web HD;Cerrado;2023-06-01;07-06-23;07/06/2023;3
WO0000004122739;232;TABLERO ELECTRICO;REVISAR;CANTO GRANDE - 191096;Zona Centro;Web HD;Cerrado;2023-06-01;08-06-23;08/06/2023;3
WO0000004122740;59;CORTE DE ENERGIA;REVISAR;CANTO GRANDE - 191096;Zona Centro;Web HD;Cerrado;2023-06-01;08-06-23;08/06/2023;3
WO0000004122741;57;CONTADOR DE MONEDAS;REPARAR;CANTO GRANDE - 191096;Zona Centro;Web HD;Cerrado;2023-06-01;08-06-23;08/06/2023;3
WO0000004122744;189;PUERTA / MAMPARA  CERRADURA;APERTURAR;CERRO COLORADO - 215013;Zona Norte;Web HD;Cerrado;2023-06-01;07-06-23;07/06/2023;3
WO0000004122757;22;BOVEDA;REPROGRAMAR;CHINCHA - 315000;Zona Norte;Web HD;Cerrado;2023-06-01;11-06-23;11/06/2023;3
WO0000004123552;160;PANEL DE ALARMAS;REPARACION;JULIACA - 405000;Zona Norte;NULL;Terminado;2023-06-03;10-06-23;;1
WO0000004123576;160;PANEL DE ALARMAS;REPARACION;BELAUNDE - 191018;Zona Centro;NULL;Terminado;2023-06-03;21-06-23;;1
WO0000004123580;107;FOCO DICROICOS;CAMBIAR;RAUL FERRERO - 193012;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004123605;160;PANEL DE ALARMAS;REPARACION;JULIACA - 405000;Zona Norte;NULL;Terminado;2023-06-03;10-06-23;;1
WO0000004123669;160;PANEL DE ALARMAS;REPARACION;COLLIQUE - 191065;Zona Centro;NULL;Rechazado;2023-06-03;13-06-23;;1
WO0000004123704;160;PANEL DE ALARMAS;REPARACION;NAZCA - 440000;Zona Norte;NULL;Terminado;2023-06-03;05-06-23;;1
WO0000004123764;160;PANEL DE ALARMAS;REPARACION;ILO - 385000;Zona Norte;NULL;Terminado;2023-06-03;05-06-23;05/06/2023;1
WO0000004123797;226;SISTEMA DE AUDIO;REPARAR;MOQUEGUA - 430000;Zona Norte;Web HD;Cerrado;2023-06-03;07-06-23;07/06/2023;3
WO0000004123812;160;PANEL DE ALARMAS;REPARACION;PLAZA LIMA NORTE - 191058;Zona Centro;NULL;Terminado;2023-06-03;06-06-23;;1
WO0000004123824;108;FOCO FLOURESCENTES;CAMBIAR;MOQUEGUA - 430000;Zona Norte;Web HD;Cerrado;2023-06-03;21-06-23;21/06/2023;3
WO0000004123834;42;CAJONERA  CERRADURA;DUPLICADO DE LLAVE;LA FONTANA - 193054;Zona Centro;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004123884;57;CONTADOR DE MONEDAS;REPARAR;MALL AVENTURA PLAZA SANTA ANITA - 191118;Zona Centro;Web HD;Cerrado;2023-06-03;07-06-23;07/06/2023;3
WO0000004124073;56;CONTADOR DE BILLETES;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Zona Centro;Web HD;Cerrado;2023-06-03;13-06-23;13/06/2023;3
WO0000004124229;253;TV;REPARAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;2
WO0000004124242;108;FOCO FLOURESCENTES;CAMBIAR;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Cerrado;2023-06-03;18-06-23;18/06/2023;3
WO0000004124246;42;CAJONERA  CERRADURA;REEMPLAZAR;TOTTUS GUIPOR - 191147;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124257;107;FOCO DICROICOS;CAMBIAR;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Cerrado;2023-06-03;21-06-23;21/06/2023;3
WO0000004124263;56;CONTADOR DE BILLETES;REPARAR;VILLA SOL - 191059;Zona Centro;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004124266;56;CONTADOR DE BILLETES;REPARAR;VILLA SOL - 191059;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124308;45;CAMARA IP;MOVER;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Rechazado;2023-06-03;20-06-23;;3
WO0000004124327;56;CONTADOR DE BILLETES;REPARAR;VILLA SOL - 191059;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124335;56;CONTADOR DE BILLETES;REPARAR;VILLA SOL - 191059;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124436;56;CONTADOR DE BILLETES;REPARAR;VENEZUELA - 191026;Zona Centro;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004124449;57;CONTADOR DE MONEDAS;REPARAR;VENEZUELA - 191026;Zona Centro;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004124555;189;PUERTA / MAMPARA  CERRADURA;REEMPLAZAR;SANTA ANITA - 191052;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004124608;56;CONTADOR DE BILLETES;REPARAR;CHACLACAYO - 191074;Zona Centro;Web HD;Cerrado;2023-06-03;08-06-23;08/06/2023;3
WO0000004124623;113;GRUPO ELECTROGENO;ALQUILER;CHACLACAYO - 191074;Zona Centro;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004124647;163;PARED;PINTAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124657;56;CONTADOR DE BILLETES;REPARAR;PLAZA CIVICA VENTANILLA - 192026;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124672;32;CAJA BUZON;REPROGRAMAR;EL PEDREGAL - 251000;Zona Norte;Web HD;Cerrado;2023-06-03;20-06-23;20/06/2023;3
WO0000004124700;108;FOCO FLOURESCENTES;REVISAR;EL PEDREGAL - 251000;Zona Norte;Web HD;Cerrado;2023-06-03;22-06-23;22/06/2023;3
WO0000004124703;42;CAJONERA  CERRADURA;REEMPLAZAR;SANTA ANITA - 191052;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004124873;5;AIRE ACONDICIONADO;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004124893;148;MOSTRADOR;REPARAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004124914;249;TOMACORRIENTES;REVISAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004125050;163;PARED;PINTAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004125144;35;CAJA PULMON;REPARAR;MINI AGENCIA BCP SALAMANCA - 191090;Zona Centro;Web HD;Rechazado;2023-06-03;06-06-23;;3
WO0000004125157;47;CANDADO;REEMPLAZAR;GRAU (LIMA) - 191005;Zona Centro;Web HD;Cerrado;2023-06-03;05-06-23;05/06/2023;3
WO0000004125209;117;IMANTADO;CONFECCIONAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004125226;69;DETECTOR DE BILLETES;REPARAR;CHACLACAYO - 191074;Zona Centro;Web HD;Cerrado;2023-06-03;08-06-23;08/06/2023;3
WO0000004125254;199;PUNTO / CABLE DE RED;REVISAR;AREQUIPA - 215000;Zona Norte;Web HD;Cerrado;2023-06-03;13-06-23;13/06/2023;3
WO0000004125268;224;SILLONES;REPARAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;18-06-23;18/06/2023;3
WO0000004125316;21;BOMBAS DE AGUA;REVISAR;MONEY AND TOURIST SERVICE - 285007;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004125317;160;PANEL DE ALARMAS;REPARACION;SANTA LUZMILA - 191063;Zona Centro;NULL;Terminado;2023-06-03;19-06-23;;1
WO0000004125321;57;CONTADOR DE MONEDAS;REPARAR;ALFONSO UGARTE - 191089;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004125554;221;SILLAS;LIMPIAR;MALA - 255002;Zona Norte;Web HD;Cerrado;2023-06-03;15-06-23;15/06/2023;3
WO0000004125579;160;PANEL DE ALARMAS;REPARACION;SAN ROMAN - 405003;Zona Norte;NULL;Terminado;2023-06-03;08-06-23;;1
WO0000004125581;160;PANEL DE ALARMAS;REPARACION;SAN ROMAN - 405003;Zona Norte;NULL;Terminado;2023-06-03;08-06-23;;1
WO0000004125662;5;AIRE ACONDICIONADO;REGULAR;LAS VIÑAS - 193066;Zona Centro;Web HD;Rechazado;2023-06-03;12-06-23;;3
WO0000004125723;113;GRUPO ELECTROGENO;ALQUILER;HUAYCAN - 191085;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004125730;56;CONTADOR DE BILLETES;REPARAR;MALL AVENTURA PLAZA AREQUIPA - 215011;Zona Norte;Web HD;Cerrado;2023-06-03;06-06-23;06/06/2023;3
WO0000004125796;251;TUBERIA DE AGUA;REPARAR;AREQUIPA - 215000;Zona Norte;Web HD;Cerrado;2023-06-03;14-06-23;14/06/2023;3
WO0000004125960;255;UPS / ESTABILIZADOR;REVISAR;BARRIO CHINO - 191165;Zona Centro;Web HD;Cerrado;2023-06-03;17-06-23;17/06/2023;3
WO0000004126279;220;SERVIMATIC;REVISAR;ANTUNEZ DE MAYOLO - 191028;Zona Centro;Web HD;Cerrado;2023-06-03;24-06-23;24/06/2023;2
WO0000004126388;189;PUERTA / MAMPARA  CERRADURA;APERTURAR;EL PROGRESO - 191037;Zona Centro;Web HD;Cerrado;2023-06-03;07-06-23;07/06/2023;3
WO0000004126447;189;PUERTA / MAMPARA  CERRADURA;DUPLICADO DE LLAVE;DEL AIRE - 193064;Zona Centro;Web HD;Cerrado;2023-06-03;08-06-23;08/06/2023;3
WO0000004126874;5;AIRE ACONDICIONADO;REPARAR;AGUAS CALIENTES - 285004;Zona Norte;Web HD;Cerrado;2023-06-03;21-06-23;21/06/2023;3
WO0000004126881;113;GRUPO ELECTROGENO;REVISAR;MARISCAL CÁCERES - 220002;Zona Norte;Web HD;Cerrado;2023-06-03;11-06-23;11/06/2023;3
WO0000004126893;189;PUERTA / MAMPARA  CERRADURA;REEMPLAZAR;EL SOL - 191082;Zona Centro;Web HD;Cerrado;2023-06-03;08-06-23;08/06/2023;3
WO0000004126922;56;CONTADOR DE BILLETES;REPARAR;DEL AIRE - 193064;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004126926;232;TABLERO ELECTRICO;REVISAR;TUPAC AMARU - 191038;Zona Centro;Web HD;Cerrado;2023-06-03;06-06-23;06/06/2023;3
WO0000004126941;108;FOCO FLOURESCENTES;CAMBIAR;DEL AIRE - 193064;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004126971;56;CONTADOR DE BILLETES;REPARAR;SAN CAMILO - 215006;Zona Norte;Web HD;Cerrado;2023-06-03;19-06-23;19/06/2023;3
WO0000004127018;62;CORTO CIRCUITO;REVISAR;CAPON - 191095;Zona Centro;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004127107;59;CORTE DE ENERGIA;REVISAR;SICUANI - 533000;Zona Norte;Web HD;Cerrado;2023-06-03;07-06-23;07/06/2023;3
WO0000004127139;22;BOVEDA;REPARAR;LA RAMBLA BRASIL - 191166;Zona Centro;Web HD;Cerrado;2023-06-03;07-06-23;07/06/2023;3
WO0000004127281;206;REFLECTOR / LAMPARAS;REVISAR;CHACLACAYO - 191074;Zona Centro;Web HD;Cerrado;2023-06-03;10-06-23;10/06/2023;3
WO0000004127404;117;IMANTADO;CONFECCIONAR;PERU - 191056;Zona Centro;Web HD;Cerrado;2023-06-03;08-06-23;08/06/2023;3
WO0000004127481;160;PANEL DE ALARMAS;REPARACION;PLAZA UNION - 191062;Zona Centro;NULL;Terminado;2023-06-03;05-06-23;;1
WO0000004127510;56;CONTADOR DE BILLETES;REPARAR;ICA - 380000;Zona Norte;Web HD;Cerrado;2023-06-03;12-06-23;12/06/2023;3
WO0000004127971;160;PANEL DE ALARMAS;REPARACION;PUENTE PIEDRA - 191035;Zona Centro;NULL;Terminado;2023-06-04;14-06-23;;1
WO0000004127992;160;PANEL DE ALARMAS;REPARACION;PLAZA SAN MARTIN - 191004;Zona Centro;NULL;Terminado;2023-06-04;06-06-23;;1
WO0000004128036;160;PANEL DE ALARMAS;REPARACION;MEGA PLAZA 2 - 191040;Zona Centro;NULL;Terminado;2023-06-04;04-06-23;;1
WO0000004128042;160;PANEL DE ALARMAS;REPARACION;URUBAMBA - 285009;Zona Norte;NULL;Terminado;2023-06-04;26-06-23;;1
WO0000004128043;160;PANEL DE ALARMAS;REPARACION;PARQUE INDUSTRIAL (AREQUIPA) - 215005;Zona Norte;NULL;Terminado;2023-06-04;06-06-23;06/06/2023;1
WO0000004128260;136;LLAVE SHUNT;REPARAR;LAS VIÑAS - 193066;Zona Centro;Web HD;Cerrado;2023-06-04;15-06-23;15/06/2023;3
WO0000004128287;56;CONTADOR DE BILLETES;REPARAR;ZARATE - 191097;Zona Centro;Web HD;Cerrado;2023-06-04;15-06-23;15/06/2023;3
WO0000004128436;56;CONTADOR DE BILLETES;REPARAR;MALL AVENTURA PLAZA SANTA ANITA - 191118;Zona Centro;Web HD;Cerrado;2023-06-04;05-06-23;05/06/2023;3
WO0000004128458;253;TV;REPARAR;MOQUEGUA - 430000;Zona Norte;Web HD;Cerrado;2023-06-04;24-06-23;24/06/2023;2
WO0000004128516;136;LLAVE SHUNT;REPARAR;MALA - 255002;Zona Norte;Web HD;Cerrado;2023-06-04;07-06-23;07/06/2023;3
WO0000004128575;216;SENSOR DE PARED;REPARAR;ANDAHUAYLAS - 205000;Zona Norte;Web HD;Cerrado;2023-06-04;27-06-23;27/06/2023;3
WO0000004128675;57;CONTADOR DE MONEDAS;REPARAR;BARRIO CHINO - 191165;Zona Centro;Web HD;Cerrado;2023-06-04;11-06-23;11/06/2023;3
WO0000004128733;206;REFLECTOR / LAMPARAS;CAMBIAR;ARGENTINA - 191014;Zona Centro;Web HD;Cerrado;2023-06-04;12-06-23;12/06/2023;3
WO0000004128735;22;BOVEDA;REPARAR;PLAZA UNION - 191062;Zona Centro;Web HD;Cerrado;2023-06-04;05-06-23;05/06/2023;3
WO0000004128948;130;LAVATORIO;REPARAR;LOS RUISEÑORES - 191115;Zona Centro;Web HD;Cerrado;2023-06-04;12-06-23;12/06/2023;3
WO0000004129050;146;MODULOS;REPARAR;CAILLOMA - 191098;Zona Centro;Web HD;Cerrado;2023-06-04;13-06-23;13/06/2023;3
WO0000004129223;107;FOCO DICROICOS;REVISAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;13-06-23;13/06/2023;3
WO0000004129235;188;PUERTA / MAMPARA;LIMPIAR;CAYMA - 215002;Zona Norte;Web HD;Rechazado;2023-06-04;05-06-23;;3
WO0000004129398;108;FOCO FLOURESCENTES;CAMBIAR;PURUCHUCO - 191020;Zona Centro;Web HD;Rechazado;2023-06-04;20-06-23;;3
WO0000004129507;113;GRUPO ELECTROGENO;REGARGAR COMBUSTIBLE;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;24-06-23;24/06/2023;3
WO0000004129520;89;ESCALERA CINTA ANTIDESLIZANTE;REPONER;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;13-06-23;13/06/2023;3
WO0000004129526;64;CREDENZA;REPARAR;SIGLO XX - 215015;Zona Norte;Web HD;Cerrado;2023-06-04;11-06-23;11/06/2023;3
WO0000004129543;92;ESCRITORIO;REPONER VIDRIO;CERRO COLORADO - 215013;Zona Norte;Web HD;Cerrado;2023-06-04;17-06-23;17/06/2023;3
WO0000004129547;23;BUTACA;REPARAR;LAS MALVINAS - 191076;Zona Centro;Web HD;Cerrado;2023-06-04;14-06-23;14/06/2023;3
WO0000004129555;93;ESCRITORIO CERRADURA;REEMPLAZAR;MINI AGENCIA HERSIL - 191149;Zona Centro;Web HD;Cerrado;2023-06-04;28-06-23;28/06/2023;3
WO0000004129576;188;PUERTA / MAMPARA;REPARAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;15-06-23;15/06/2023;3
WO0000004129580;56;CONTADOR DE BILLETES;REPARAR;CUSCO - 285000;Zona Norte;Web HD;Cerrado;2023-06-04;25-06-23;25/06/2023;3
WO0000004129584;92;ESCRITORIO;LIMPIAR;CHINCHA - 315000;Zona Norte;Web HD;Cerrado;2023-06-04;18-06-23;18/06/2023;3
WO0000004129643;221;SILLAS;REPARAR;CHINCHA - 315000;Zona Norte;Web HD;Cerrado;2023-06-04;18-06-23;18/06/2023;3
WO0000004129661;57;CONTADOR DE MONEDAS;REPARAR;LAS ALONDRAS - 191044;Zona Centro;Web HD;Cerrado;2023-06-04;06-06-23;06/06/2023;3
WO0000004129677;159;PANEL CONTRA INCENDIO;REPARAR;COLONIAL - 192035;Zona Centro;Web HD;Cerrado;2023-06-04;12-06-23;12/06/2023;3
WO0000004129684;65;CREDENZA CERRADURA;REEMPLAZAR;CHINCHA - 315000;Zona Norte;Web HD;Rechazado;2023-06-04;11-06-23;;3
WO0000004129718;189;PUERTA / MAMPARA  CERRADURA;APERTURAR;COLONIAL - 192035;Zona Centro;Web HD;Cerrado;2023-06-04;19-06-23;19/06/2023;3
WO0000004129738;123;INODOROS;DESATORAR;ELIO - 191067;Zona Centro;Web HD;Cerrado;2023-06-04;07-06-23;07/06/2023;3
WO0000004129782;199;PUNTO / CABLE DE RED;REVISAR;MOLICENTRO - 193004;Zona Centro;Web HD;Cerrado;2023-06-04;05-06-23;05/06/2023;3
WO0000004129819;197;PULSADOR DE ASALTO;REPARAR;PLAZA SAN MARTIN - 191004;Zona Centro;Web HD;Rechazado;2023-06-04;05-06-23;;3
WO0000004129857;189;PUERTA / MAMPARA  CERRADURA;REEMPLAZAR;PLAZA SAN MARTIN - 191004;Zona Centro;Web HD;Cerrado;2023-06-04;12-06-23;12/06/2023;3
WO0000004129960;232;TABLERO ELECTRICO;REVISAR;SICUANI - 533000;Zona Norte;Web HD;Cerrado;2023-06-04;07-06-23;07/06/2023;3
WO0000004130039;56;CONTADOR DE BILLETES;REPARAR;MERCADO DE PRODUCTORES - 191061;Zona Centro;Web HD;Cerrado;2023-06-04;10-06-23;10/06/2023;3
WO0000004130094;59;CORTE DE ENERGIA;REVISAR;CAPON - 191095;Zona Centro;Web HD;Cerrado;2023-06-04;12-06-23;12/06/2023;3
WO0000004130115;139;LONCHERA CERRADURA;DUPLICADO DE LLAVE;CUSCO - 285000;Zona Norte;Web HD;Rechazado;2023-06-04;08-06-23;;3
WO0000004130542;146;MODULOS;REPARAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;27-06-23;27/06/2023;3
WO0000004130558;122;INODORO TANQUE DE AGUA;REVISAR;C.B. FIORI - 191088;Zona Centro;Web HD;Cerrado;2023-06-04;11-06-23;11/06/2023;3
WO0000004130626;144;MESAS;REPARAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;07-06-23;07/06/2023;3
WO0000004130764;127;JARDIN;ARREGLAR;LARAPA - 285005;Zona Norte;Web HD;Cerrado;2023-06-04;14-06-23;14/06/2023;3
WO0000004130845;56;CONTADOR DE BILLETES;REPARAR;NARANJAL - 191141;Zona Centro;Web HD;Cerrado;2023-06-04;08-06-23;08/06/2023;3
WO0000004130882;122;INODORO TANQUE DE AGUA;REVISAR;LOS DAMASCOS - 193038;Zona Centro;Web HD;Cerrado;2023-06-04;18-06-23;18/06/2023;3
WO0000004130946;5;AIRE ACONDICIONADO;REPARAR;SAN MARCOS - 192081;Zona Centro;Web HD;Cerrado;2023-06-04;24-06-23;24/06/2023;3
WO0000004130950;122;INODORO TANQUE DE AGUA;REVISAR;LOS DAMASCOS - 193038;Zona Centro;Web HD;Cerrado;2023-06-04;10-06-23;10/06/2023;3
WO0000004130981;113;GRUPO ELECTROGENO;ALQUILER;LA NEGRITA - 215004;Zona Norte;Web HD;Cerrado;2023-06-04;17-06-23;17/06/2023;3
WO0000004131302;32;CAJA BUZON;REPARAR;PLAZA SAN MARTIN - 191004;Zona Centro;Web HD;Cerrado;2023-06-04;07-06-23;07/06/2023;3
WO0000004131327;57;CONTADOR DE MONEDAS;REPARAR;HUAYCAN - 191085;Zona Centro;Web HD;Cerrado;2023-06-04;08-06-23;08/06/2023;3
WO0000004131370;57;CONTADOR DE MONEDAS;REPARAR;HUAYCAN - 191085;Zona Centro;Web HD;Cerrado;2023-06-04;08-06-23;08/06/2023;3
WO0000004131403;5;AIRE ACONDICIONADO;REPARAR;SANTA ANITA - 191052;Zona Centro;Web HD;Cerrado;2023-06-04;10-06-23;10/06/2023;3
WO0000004131410;56;CONTADOR DE BILLETES;REPARAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;17-06-23;17/06/2023;3
WO0000004131526;57;CONTADOR DE MONEDAS;REPARAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;20-06-23;20/06/2023;3
WO0000004131550;106;FOCO AHORRADOR;CAMBIAR;CAYMA - 215002;Zona Norte;Web HD;Cerrado;2023-06-04;13-06-23;13/06/2023;3
WO0000004131632;148;MOSTRADOR;REPARAR;CAQUETA - 191091;Zona Centro;Web HD;Cerrado;2023-06-04;10-06-23;10/06/2023;3
WO0000004131660;163;PARED;RESANAR;LAS ALONDRAS - 191044;Zona Centro;Web HD;Rechazado;2023-06-04;05-06-23;;3
WO0000004131677;108;FOCO FLOURESCENTES;CAMBIAR;CHOSICA - 191075;Zona Centro;Web HD;Cerrado;2023-06-04;10-06-23;10/06/2023;3
WO0000004131737;108;FOCO FLOURESCENTES;CAMBIAR;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Cerrado;2023-06-04;25-06-23;25/06/2023;3
WO0000004131824;174;PISOSPARQUET;LIMPIAR;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Cerrado;2023-06-04;27-06-23;27/06/2023;3
WO0000004131832;61;CORTINAS/PERSIANAS/ROLLERS;LIMPIAR;REAL PLAZA CUSCO - 285011;Zona Norte;Web HD;Cerrado;2023-06-04;13-06-23;13/06/2023;3
WO0000004132101;15;ATM;PINTAR;CUSCO - 285000;Zona Norte;Web HD;Cerrado;2023-06-04;20-06-23;20/06/2023;3
WO0000004132104;15;ATM;PINTAR;CUSCO - 285000;Zona Norte;Web HD;Cerrado;2023-06-04;22-06-23;22/06/2023;3
WO0000004132529;160;PANEL DE ALARMAS;REPARACION;IZAGUIRRE - 191154;Zona Centro;NULL;Terminado;2023-06-05;08-06-23;;1
WO0000004132678;160;PANEL DE ALARMAS;REPARACION;UMACOLLO - 215009;Zona Norte;NULL;Terminado;2023-06-05;15-06-23;;1
